Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
1,5185116781,JonBuc1,0,577,G Xander Schauffele G Tommy Fleetwood G Min Woo Lee G Shane Lowry G Harry Hall G Sahith Theegala
2,5185213344,darksidefan,0,550.5,G Matt Fitzpatrick G Wyndham Clark G Nicolai Hojgaard G Kristoffer Reitan G Marco Penge G Brian Harman
3,5185510424,cairnssj,0,544.5,G Matt Fitzpatrick G Tyrrell Hatton G Justin Thomas G Patrick Reed G Tom Kim G Ryan Fox
4,5184847785,cmilly-97,0,524.5,G Tommy Fleetwood G Robert MacIntyre G Min Woo Lee G Alex Fitzpatrick G Shane Lowry G Patrick Reed
5,5184742459,NPitz14,0,505.5,G Tommy Fleetwood G Wyndham Clark G Kurt Kitayama G Kristoffer Reitan G Tom Kim G Michael Brennan
6,5184680556,brotherjonas,0,503.5,G Ludvig Aberg G Tommy Fleetwood G Chris Gotterup G Patrick Reed G Sepp Straka G Matti Schmid
7,5184525780,VOODOG23,0,493.5,G Rory McIlroy G Wyndham Clark G Kristoffer Reitan G Sepp Straka G Matti Schmid G Andrew Putnam
8,5184853540,cubyblue,0,479,G Jon Rahm G Viktor Hovland G Brooks Koepka G Eric Cole G Sungjae Im G Michael Kim
9,5184916082,Jph315,0,478.5,G Matt Fitzpatrick G Ludvig Aberg G Tyrrell Hatton G Shane Lowry G Corey Conners G Padraig Harrington
10,5185144385,Lumberjac,0,457,G Matt Fitzpatrick G Chris Gotterup G Wyndham Clark G David Puig G Kevin Yu G Oliver Lindell
11,5184770822,aceshigh1973,0,456.5,G Xander Schauffele G Robert MacIntyre G Alex Fitzpatrick G Aaron Rai G Shane Lowry G Ryan Gerard
12,5185407498,magic_21,0,453.5,G Rory McIlroy G Tyrrell Hatton G Nicolai Hojgaard G Sahith Theegala G Matthew McCarty G Jesper Svensson
13,5185178565,jabella72,0,451,G Matt Fitzpatrick G Tommy Fleetwood G Tyrrell Hatton G Alex Fitzpatrick G Aldrich Potgieter G Zachary Bauchou
14,5185199981,chicagoputz,0,444,G Jon Rahm G David Puig G Aaron Rai G Shane Lowry G Marco Penge G Hennie Du Plessis
15,5185192642,concord,0,443.5,G Ludvig Aberg G Tyrrell Hatton G Patrick Cantlay G Kristoffer Reitan G Bud Cauley G Nick Taylor
16,5185501214,boyewsky,0,443,G Matt Fitzpatrick G Xander Schauffele G Wyndham Clark G Tom Kim G Bernd Wiesberger G Oliver Lindell
17,5185183986,Gm0ney720,0,436,G Jon Rahm G Matt Fitzpatrick G Ryan Fox G Sepp Straka G Nick Taylor G Michael Kim
18,5184522437,American-Dream,0,421,G Matt Fitzpatrick G Viktor Hovland G Tyrrell Hatton G Alex Fitzpatrick G Eugenio Lopez-Chacarra G Oliver Lindell
19,5184878230,holth,0,414.5,G Ludvig Aberg G Tommy Fleetwood G Robert MacIntyre G Eugenio Lopez-Chacarra G Sahith Theegala G Ewen Ferguson
20,5185088170,Knock0ut12,0,409,G Wyndham Clark G Tyrrell Hatton G Justin Thomas G Kristoffer Reitan G Aaron Rai G Tom Kim
21,5185470969,ryanhupfer,0,381.5,G Tommy Fleetwood G Robert MacIntyre G Min Woo Lee G David Puig G Kristoffer Reitan G Brian Harman
22,5185001953,snyde167,0,376.5,G Tommy Fleetwood G Tyrrell Hatton G Nicolai Hojgaard G Brooks Koepka G Alex Fitzpatrick G Shane Lowry
23,5185208689,gapfaff,0,281,G Wyndham Clark G Tyrrell Hatton G Justin Thomas G Min Woo Lee G Alex Fitzpatrick G Rasmus Neergaard-Petersen
