Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4809597017,cmilly-97,0,515,G Scottie Scheffler G Robert MacIntyre G Taylor Pendrith G Denny McCarthy G Andrew Novak G Brian Harman,,Scottie Scheffler,G,45.00%,120.5
2,4809611296,jabella72,0,487.5,G Scottie Scheffler G Cameron Young G Maverick McNealy G J.T. Poston G Sam Stevens G Jhonattan Vegas,,Kurt Kitayama,G,35.00%,63
3,4809461621,chicagoputz,0,479,G Scottie Scheffler G Keegan Bradley G Robert MacIntyre G Andrew Novak G Daniel Berger G Michael Kim,,Brian Harman,G,35.00%,62.5
4,4809053568,aceshigh1973,0,470.5,G Scottie Scheffler G Justin Thomas G Kurt Kitayama G Brian Harman G Jhonattan Vegas G Michael Kim,,Andrew Novak,G,30.00%,32
4,4809097542,VOODOG23,0,470,G Scottie Scheffler G Keegan Bradley G Harry Hall G Si Woo Kim G Bud Cauley G Ryan Gerard,,Cameron Young,G,25.00%,77.5
6,4809743016,magic_21,0,469,G Scottie Scheffler G Cameron Young G Kurt Kitayama G Brian Harman G Thomas Detry G Tom Hoge,,Thomas Detry,G,25.00%,32.5
7,4809436942,American-Dream,0,468.5,G Rory McIlroy G Corey Conners G Akshay Bhatia G Rickie Fowler G Shane Lowry G Lucas Glover,,Jhonattan Vegas,G,25.00%,39.5
8,4810375711,jimm743,0,465,G Ludvig Aberg G Matt Fitzpatrick G Chris Gotterup G Rickie Fowler G Kurt Kitayama G Brian Harman,,Rory McIlroy,G,20.00%,81
9,4810437861,Jph315,0,453.5,G Scottie Scheffler G Chris Gotterup G Harry Hall G Kurt Kitayama G Sam Stevens G Jhonattan Vegas,,Ludvig Aberg,G,20.00%,80.5
10,4809058427,Knock0ut12,0,450,G Rory McIlroy G Viktor Hovland G Keegan Bradley G Si Woo Kim G Denny McCarthy G Ryan Gerard,,Chris Gotterup,G,20.00%,46.5
11,4809043881,concord,0,450,G Scottie Scheffler G Justin Rose G Harris English G Brian Harman G Nick Taylor G Thomas Detry,,Harry Hall,G,20.00%,83
12,4810493001,NPitz14,0,447.5,G Scottie Scheffler G J.J. Spaun G Rickie Fowler G Andrew Novak G Thomas Detry G Jhonattan Vegas,,Sam Stevens,G,20.00%,43
13,4810429784,Lumberjac,0,439.5,G Cameron Young G J.J. Spaun G Akshay Bhatia G Sungjae Im G Harry Hall G Thomas Detry,,Patrick Cantlay,G,15.00%,54
14,4809242028,snyde167,0,425,G Cameron Young G J.J. Spaun G Chris Gotterup G Harris English G Harry Hall G Thomas Detry,,J.J. Spaun,G,15.00%,62
15,4809131565,gapfaff,0,424.5,G Ludvig Aberg G Patrick Cantlay G Corey Conners G Kurt Kitayama G Taylor Pendrith G Sam Stevens,,Keegan Bradley,G,15.00%,57.5
16,4809273133,ryanhupfer,0,422.5,G Xander Schauffele G Ludvig Aberg G Ben Griffin G Kurt Kitayama G Sam Stevens G Jhonattan Vegas,,Corey Conners,G,15.00%,55.5
17,4810108419,andcohen2525,0,422,G Ludvig Aberg G Viktor Hovland G Chris Gotterup G Akshay Bhatia G Andrew Novak G Lucas Glover,,Akshay Bhatia,G,15.00%,70
18,4809838166,darksidefan,0,417.5,G Xander Schauffele G Cameron Young G Corey Conners G Kurt Kitayama G Jason Day G Bud Cauley,,Rickie Fowler,G,15.00%,84
19,4810423206,JonBuc1,0,417.5,G Rory McIlroy G Patrick Cantlay G Denny McCarthy G Andrew Novak G Brian Harman G Bud Cauley,,Denny McCarthy,G,15.00%,63.5
20,4809054560,boyewsky,0,392,G Rory McIlroy G Patrick Cantlay G Sungjae Im G Andrew Novak G Brian Harman G Nick Taylor,,Bud Cauley,G,15.00%,48
,,,,,,,Xander Schauffele,G,10.00%,57.5
,,,,,,,Viktor Hovland,G,10.00%,85.5
,,,,,,,Harris English,G,10.00%,67.5
,,,,,,,Robert MacIntyre,G,10.00%,105
,,,,,,,Sungjae Im,G,10.00%,45
,,,,,,,Si Woo Kim,G,10.00%,67
,,,,,,,Taylor Pendrith,G,10.00%,68
,,,,,,,Nick Taylor,G,10.00%,49.5
,,,,,,,Lucas Glover,G,10.00%,47.5
,,,,,,,Ryan Gerard,G,10.00%,36
,,,,,,,Michael Kim,G,10.00%,73.5
,,,,,,,Justin Thomas,G,5.00%,53
,,,,,,,Ben Griffin,G,5.00%,80
,,,,,,,Matt Fitzpatrick,G,5.00%,61
,,,,,,,Justin Rose,G,5.00%,56
,,,,,,,Shane Lowry,G,5.00%,63.5
,,,,,,,Maverick McNealy,G,5.00%,104
,,,,,,,Jason Day,G,5.00%,58.5
,,,,,,,Daniel Berger,G,5.00%,39.5
,,,,,,,J.T. Poston,G,5.00%,48.5
,,,,,,,Tom Hoge,G,5.00%,55
